NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
215 SALTO PILAO    1    03      F                  17
215 SALTO PILAO    1    06      F                  16
155 RETIRO BAIXO   1    01      F                  46
155 RETIRO BAIXO   1    03      F                  45
155 RETIRO BAIXO   1    06      F                  44
311 CACU           1    01      F                  93
311 CACU           1    02      F                  92
311 CACU           1    04      F                  91
311 CACU           1    05      F                  90
311 CACU           1    07      F                  89
312 B. COQUEIROS   1    01      F                   4
315 FOZ R. CLARO   1    01      F                   7
 21 SERRA FACAO    1    01      F                  37
 21 SERRA FACAO    1    03      F                  36
 21 SERRA FACAO    1    05      F                  35
290 ESPORA         1    01      F                  49
101 SAO JOSE       1    01      F                  44
101 SAO JOSE       1    02      F                  43
101 SAO JOSE       1    03      F                  42
101 SAO JOSE       1    04      F                  41
101 SAO JOSE       1    05      F                  40
101 SAO JOSE       1    06      F                  43
101 SAO JOSE       1    07      F                  49
276 RONDON II      1    01      F                  90
276 RONDON II      1    02      F                  89
276 RONDON II      1    05      F                  88
102 PASSO S JOAO   1    01      F                   2
277 BALBINA        1    01      F                1381
285 JIRAU          1    01      F               30225
285 JIRAU          1    02      F               29444
285 JIRAU          1    03      F               28686
285 JIRAU          1    04      F               27947
285 JIRAU          1    05      F               27246
285 JIRAU          1    06      F               26619
285 JIRAU          1    07      F               26078
286 STO ANT JARI   1    01      F                2528
284 FERREIRA GOM   1    01      F                  24
227 SINOP          1    01      F                1092
228 COLIDER        1    01      F                 102
229 TELES PIRES    1    01      F                1641
192 GUILMAN-AMOR   1    01      F                  33
230 SAO MANOEL     1    01      F                  26
288 BELO MONTE     1    01      F                   0
314 PIMENTAL       1    01      F               14845
FIM
