&XXXXXX;XXXXX ;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX ;XXXXXXXXXX ;XXX ;X;
&      ;CODIGO;NOME: Usina, Barra e Tipo de Usina       ;PMAX       ;FCAP;C;
&XXXXXX;XXXXX ;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX ;XXXXXXXXXX ;XXX ;X;
EOLICA ;  178 ;A2GABR_GABRIEL PASSOS_01567_UTE          ;      9999 ;1.0 ;0; 
EOLICA ;  179 ;A2FARA_FARIAS_01570_CGH                  ;      9999 ;1.0 ;0; 
EOLICA ;  180 ;A5PTGS_PITANGAS_01570_CGH                ;      9999 ;1.0 ;0; 
EOLICA ;  181 ;A2CARD_CARANDAI_01572_PCH                ;      9999 ;1.0 ;0; 
EOLICA ;  182 ;A2CAEV_Volta Grande_01578_UTE            ;      9999 ;1.0 ;0; 
EOLICA ;  183 ;A2MAC _CACHOEIRA DOS MACACOS_01578_CGH   ;      9999 ;1.0 ;0; 
EOLICA ;  184 ;A2PAJO_PAI JOAQUIM_01578_PCH             ;      9999 ;1.0 ;0; 
EOLICA ;  185 ;A2ALGA_ALGAR AGRO_01580_UTE              ;      9999 ;1.0 ;0; 
EOLICA ;  186 ;A2DEL _DELTA_01581_UTE                   ;      9999 ;1.0 ;0; 
EOLICA ;  187 ;A3JRJR_RJR_01645_UTE                     ;      9999 ;1.0 ;0; 
EOLICA ;  188 ;A3MELL_MELLO_01654_UHE                   ;      9999 ;1.0 ;0; 
EOLICA ;  189 ;A3VIST_VISTA VERDE_01654_UHE             ;      9999 ;1.0 ;0; 
EOLICA ;  190 ;A3ARL _AREAL_01700_UHE                   ;      9999 ;1.0 ;0; 
EOLICA ;  191 ;A3FAG _Fagundes_01701_UHE                ;      9999 ;1.0 ;0; 
EOLICA ;  192 ;A3PIB _Piabanha_01702_UHE                ;      9999 ;1.0 ;0; 
EOLICA ;  193 ;A3MBU1_Macabu_01703_UHE                  ;      9999 ;1.0 ;0; 
EOLICA ;  194 ;A3VEN _Comend Venancio_01705_UHE         ;      9999 ;1.0 ;0; 
EOLICA ;  195 ;A3RIOB_RIO BONITO TRES VALES_01707_UHE   ;      9999 ;1.0 ;0; 
EOLICA ;  196 ;A3CALH_CALHEIROS_01711_UHE               ;      9999 ;1.0 ;0; 
EOLICA ;  197 ;A3CANA_CANABRAVA_01749_UTE               ;      9999 ;1.0 ;0; 
EOLICA ;  198 ;A3TUD _TUDELANDIA_01750_UHE              ;      9999 ;1.0 ;0; 
EOLICA ;  199 ;A3POCO_Poco Fundo_01754_PCH              ;      9999 ;1.0 ;0; 
EOLICA ;  200 ;A3STRD_Santa Rosa II_01767_UHE           ;      9999 ;1.0 ;0; 
EOLICA ;  201 ;A3CHV _Chave do Vaz_01774_UHE            ;      9999 ;1.0 ;0; 
EOLICA ;  202 ;A3ECL _Euclidelandia_01774_UHE           ;      9999 ;1.0 ;0; 
EOLICA ;  203 ;A3PEDR_PEDRA LAVADA_01774_UHE            ;      9999 ;1.0 ;0; 
