& Proposta arquivo polijus.dat
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
& Cadastro das familias de curvas de jusante
&
& Usina: c�digo da usina hidraulica
& �ndice: �ndice da fam�lia (sequencial)
& HjusRef: n�vel de montante da usina de jusante para refer�ncia da fam�lia
& nPol: quantidade de polin�mios da fam�lia
&
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
&         Usina    Indice   HjusRef    nPol
&XXXXXXX   XXXX     XXX    XXXXXXXXXX  XXX
PPPJUS     0008     004     0000000000004730.2D0 0000000000011989.5D0 0.55998484444303D+03 -.35072553681273D-03 0.20216374411370D-06 -.19100708958696D-10 0.59967514007428D-15
PPPJUS     0008     005     0000000000000000.0D0 0000000000004671.2D0 0.55810000000000D+03 0.16624290911092D-17 0.57864087004122D-06 -.15542979322496D-09 0.13047644500975D-13
PPPJUS     0008     005     0000000000004671.2D0 0000000000004730.2D0 0.55601068675284D+03 0.29269194011374D-02 -.97647448203329D-06 0.18997973746852D-09 -.13954889430924D-13
PPPJUS     0008     005     0000000000004730.2D0 0000000000011989.5D0 0.55998484444303D+03 -.35072553681273D-03 0.20216374411370D-06 -.19100708958696D-10 0.59967514007428D-15
PPPJUS     0009     001     0000000000000000.0D0 0000000000004224.8D0 0.51206567964946D+03 -.60767891034901D-17 0.13495584440819D-05 -.43720856283460D-09 0.44999005439049D-13
PPPJUS     0009     001     0000000000004224.8D0 0000000000006030.8D0 0.50496969703547D+03 0.52038948490375D-02 -.76870661750135D-06 0.67318927756535D-10 -.24802596311833D-14
PPPJUS     0010     001     0000000000000000.0D0 0000000000001875.6D0 0.49366130611920D+03 0.12639360188390D-02 -.19786237951885D-06 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0010     001     0000000000001875.6D0 0000000000004734.9D0 0.49374682593123D+03 0.12898333446039D-02 -.30689293828907D-06 0.42332126484111D-10 -.24120072368992D-14
PPPJUS     0010     002     0000000000000000.0D0 0000000000001888.6D0 0.49399535669481D+03 0.63140546019106D-03 0.32136374881206D-06 -.21676451078125D-09 0.36846402666572D-13
PPPJUS     0010     002     0000000000001888.6D0 0000000000004734.9D0 0.49374682593123D+03 0.12898333446039D-02 -.30689293828907D-06 0.42332126484111D-10 -.24120072368992D-14
PPPJUS     0010     003     0000000000000000.0D0 0000000000001814.8D0 0.49408660093797D+03 0.37405013449606D-03 0.91942355405978D-06 -.70534552651877D-09 0.15909912290956D-12
PPPJUS     0010     003     0000000000001814.8D0 0000000000001875.6D0 0.49366130611920D+03 0.12639360188390D-02 -.19786237951885D-06 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0010     003     0000000000001875.6D0 0000000000004734.9D0 0.49374682593123D+03 0.12898333446039D-02 -.30689293828907D-06 0.42332126484111D-10 -.24120072368992D-14
PPPJUS     0011     001     0000000000000000.0D0 0000000000005160.3D0 0.46568230497383D+03 0.95169026104637D-03 -.95266591076868D-07 0.68892475354754D-11 0.00000000000000D+01
PPPJUS     0011     001     0000000000005160.3D0 0000000000013509.1D0 0.46737567457855D+03 -.37960322635454D-04 0.10283425609910D-06 -.76882885963454D-11 0.19953296658280D-15
PPPJUS     0011     002     0000000000000000.0D0 0000000000002318.4D0 0.46628905461853D+03 0.11106885471067D-17 0.65977109016324D-06 -.30803545722720D-09 0.50733982510180D-13
PPPJUS     0011     002     0000000000002318.4D0 0000000000005160.3D0 0.46568230497383D+03 0.95169026104637D-03 -.95266591076868D-07 0.68892475354754D-11 0.00000000000000D+01
PPPJUS     0011     002     0000000000005160.3D0 0000000000013509.1D0 0.46737567457855D+03 -.37960322635454D-04 0.10283425609910D-06 -.76882885963454D-11 0.19953296658280D-15
PPPJUS     0011     003     0000000000000000.0D0 0000000000002720.6D0 0.46645955090613D+03 -.52538242225766D-17 0.63619539156100D-06 -.29949006259094D-09 0.46864177737691D-13
PPPJUS     0011     003     0000000000002720.6D0 0000000000005160.3D0 0.46568230497383D+03 0.95169026104637D-03 -.95266591076868D-07 0.68892475354754D-11 0.00000000000000D+01
PPPJUS     0011     003     0000000000005160.3D0 0000000000013509.1D0 0.46737567457855D+03 -.37960322635454D-04 0.10283425609910D-06 -.76882885963454D-11 0.19953296658280D-15
